ticker,currency,price,change,change_percent,fx_to_base,low52w,high52w,yield_pct,payout_pct,sector,logo_url,annual_dividend,acciones
BME:ACS,EUR,"91,65","-0,75","-0,81",1,41,"93,15",,,,,,102
AMS:AD,EUR,"33,6","-0,14","-0,41",1,"32,09","38,76",,,,,,75
BME:BBVA,EUR,"20,45","0,38","1,89",1,"9,75","20,82",,,,,,400
EPA:BN,EUR,"76,82","0,62","0,81",1,"63,52","80,14",,,,,,25
BME:EBRO,EUR,"18,28","-0,18","-0,98",1,"15,66","18,9",,,,,,120
BME:ELE,EUR,"31,05","0,13","0,42",1,"20,41","32,51",,,,,,148
BME:ENG,EUR,"13,83","-0,11","-0,75",1,"11,61","14,5",,,,,,213
BME:IBE,EUR,"18,9","-0,04","-0,21",1,"13,01","19,18",,,,,,222
BME:ITX,EUR,"56,46","-0,32","-0,56",1,"40,8","57,74",,,,,,45
BME:LDA,EUR,"1,11",0,"0,18",1,"0,99","1,44",,,,,,1600
BME:LOG,EUR,31,"0,16","0,52",1,"26,16","31,18",,,,,,60
BME:MAP,EUR,"4,24","-0,04","-1,03",1,"2,34","4,33",,,,,,1000
BME:MCM,EUR,"14,35","0,05","0,35",1,"11,75",15,,,,,,109
MICC,EUR,"15,28","0,08","0,53",1,"14,45","16,89",,,,,,
BME:NTGY,EUR,"25,56","-0,12","-0,47",1,"22,96","27,9",,,,,,75
BME:REd,EUR,"15,25","-0,18","-1,17",1,"14,68","19,51",,,,,,170
BME:REP,EUR,"16,5","0,14","0,86",1,"9,41","17,27",,,,,,162
BME:SAB,EUR,"3,3","-0,03","-0,96",1,"1,9","3,48",,,,,,500
AMS:UNA,EUR,"54,78","0,91","1,69",1,"52,92","64,55",,,,,,55.111100
BME:VID,EUR,"92,1","0,7","0,77",1,"80,1","97,71",,,,,,16
BME:VIS,EUR,"54,9","0,5","0,92",1,"48,35","68,7",,,,,,41
LON:AV,GBP,683,"-7,6","-1,1","1,1523","465,7","700,8",,,,,,
LON:BATS,GBP,4054,44,"1,1","1,1523",2820,"4876,92",,,,,,105
LON:DGE,GBP,1630,28,"1,75","1,1523",1564,"2567,5",,,,,,185
LON:VOD,GBP,"101,2","-2,45","-2,36","1,1523","62,4","109,49",,,,,,1400
HKG:0001,HKD,"57,15","2,05","3,72","0,1102402","37,45","57,75",,,,,,500
HKG:1038,HKD,"60,8","1,25","2,1","0,1102402","45,25",61,,,,,,500
HKG:1044,HKD,"27,26","0,12","0,44","0,1102402","19,52","29,4",,,,,,500
HKG:1052,HKD,"4,56",0,0,"0,1102402","3,27","4,79",,,,,,4000
HKG:0144,HKD,"15,15","0,05","0,33","0,1102402","11,42","16,73",,,,,,2000
HKG:0257,HKD,"4,85","-0,03","-0,61","0,1102402","3,2","5,11",,,,,,7000
HKG:2678,HKD,"4,79",0,0,"0,1102402","3,25","5,48",,,,,,4000
